NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,Distance
NGC2246,The Rosette Nebula,06 31.9,+04 57,5500
NGC2244 CLUSTER IN ROS.,cluster in the Rosette,06 32.3,+04 51,5500
NGC2251,OCL  499          ,06 34.6,+08 22,4340
NGC2254,OCL  500          ,06 35.8,+07 40,7710
NGC2259,OCL  492          ,06 38.6,+10 53,10.8000
NGC2261,HUBBLE'S VARIABLE NEBULA,06 39.2,+08 45,3000
NGC2264,CHRISTMAS TREE CLUSTER/CONE NEBULA,06 41.0,+09 54,2180
NGC2269,"OCL  524,Z95,HEAD HUNTER,STARFIGHTER         ",06 43.3,+04 37,5500
NGC2286,OCL  548          ,06 47.7,-03 09,9450
NGC2301,HAGRID'S DRAGON,06 51.8,+00 28,2850
NGC2309,OCL  557          ,06 56.1,-07 10,8190
NGC2316,2317,06 59.7,-07 47,3600
NGC2323,M50/Heart-Shaped Cluster,07 02.8,-08 23,3030
NGC2353,AVERY'S ISLAND,07 14.5,-10 16,3650
NGC2506,OCL  593          ,08 00.0,-10 46,11.3000
NGC6171,"M107, THE CRUCIFIX CLUSTER",16 32.5,-13 03,20.9000
NGC6218,M12,16 47.2,-01 57,16000
NGC6254,M10,16 57.1,-04 06,14.3000
NGC6266,M62 FLICKERING GLOBULAR,17 01.2,-30 07,22.5000
NGC6273,M19,17 02.6,-26 16,28000
NGC6284,GCL  53           ,17 04.5,-24 46,49.9000
NGC6309,"The Box Nebula, THE SHOEPRINT NEB.,the exclamation mark!",17 14.1,-12 55,11000
NGC6316,GCL  57           ,17 16.6,-28 08,33.9000
NGC6333,M9,17 19.2,-18 31,25.8000
NGC6356,GCL  62           ,17 23.6,-17 49,49.2000
NGC6369,LITTLE GHOST NEBULA,17 29.3,-23 46,3500
NGC6402,M14,17 37.6,-03 15,30000
NGCIC4665,Poseidon'd Trident,17 46.2,+05 43,1150
NGC6572,"EMERALD EYE PLANETARY, BLUE RACQUETBALL",18 12.1,+06 51,9000
NGC6633,,18 27.2,+06 30,1230
NGC1973,MERMAID'S PURSE NEBULA/RUNNING MAN NEBULA,05 35.1,-04 44,1630
NGC1975,MERMAID'S PURSE NEBULA/RUNNING MAN NEBULA,05 35.1,-04 44,1630
NGC1981,COAL CAR CLUSTER-JUST N. OF 1973/5/7,05 35.2,-04 26,1300
NGC1976,M42 ORION NEBULA,05 35.3,-05 23,1350
NGC1977(CLUSTER),CLUSTER IN NGC1973/1975,05 35.3,-04 49,1630
NGC1980,The Lost Jewel of Orion=CLUSTER WITH NEBULA       ,05 35.4,-05 55,1800
NGC1982,M43/De Mairan's Nebula,05 35.5,-05 16,1400
NGC1999,"13TH PEARL NEBULA, BLACK EYE NEBULA",05 36.5,-06 42,1500
NGC2024,LIPS NEBULA/FLAME NEBULA/MAPLE LEAF NEB./TANK NEB.,05 41.7,-01 51,1500
NGC2022,"KISSING CRESCENTS NEBULA, ORION'S COLLARBONE NEB.",05 42.1,+09 05,10.4000
NGC2068,M78 CASPER THE FRIENDLY GHOST,05 46.8,+00 05,1500
NGC2141,OCL  487          ,06 02.9,+10 27,13.1000
NGC2169,"SHOPPING CART CLUSTER/""37"" Cluster",06 08.4,+13 58,3430
NGC2194,OCL  495          ,06 13.8,+12 48,12.3000
NGC7814,"UGC 8 THE LITTLE SOMBRERO, ELECTRIC ARC GAL.",00 03.2,+16 09,40000000
NGC7078,M15 PEGASUS CLUSTER,21 30.0,+12 10,33.6000
NGC7331,UGC 12113(Deer Lick Group with the companions)      ,22 37.1,+34 25,46000000
NGC7479,"UGC 12343, Superman Galaxy       ",23 04.9,+12 19,111000000
NGC650,"M76 LITTLE DUMBBELL, the Barbell, The Cork          ",01 42.3,+51 35,2100
NGC651,"M76 LITTLE DUMBBELL, the Barbell, The Cork          ",01 42.3,+51 35,2100
NGC869,PERSEUS DOUBLE CLUSTER,02 19.1,+57 08,6780
NGC884,PERSEUS DOUBLE CLUSTER,02 22.1,+57 08,7650
NGC1003,UGC 2137         ,02 39.3,+40 52,19000000
NGC1023,"UGC 2154, PERSEUS LENTICULAR       ",02 40.4,+39 04,36000000
NGC1039,M34,02 42.1,+42 45,1630
NGC1160,UGC 2475         ,03 01.2,+44 57,105000000
NGC1245,PATRICK STARFISH,03 14.7,+47 14,9380
NGC1333,EMBRYO NEBULA,03 29.3,+31 25,720
NGC1342,STINGRAY CLUSTER,03 31.7,+37 22,2170
NGC1444,OCL  394          ,03 49.4,+52 39,3910
NGC1491,FOSSIL FOOTPRINT NEBULA,04 03.2,+51 19,10.7000
NGC1528,OCL  397          ,04 15.3,+51 13,2530
NGC1545,OCL  399          ,04 20.9,+50 15,2320
NGC1579,THE NORTHERN TRIFID,04 30.2,+35 17,2100
NGCBerkeley68,                  ,04 44.5,+42 04,5470
NGC7174,ESO 466-40        ,22 02.1,-32 00,116000000
NGC7176,ESO 466-41        ,22 02.1,-31 59,122000000
NGC7314,ESO 533-53        ,22 35.8,-26 03,61000000
NGCIC5271,ESO 406-34        ,22 58.0,-33 45,77000000
NGC128,UGC 292         ,00 29.2,+02 52,200000000
NGC488,Whirligig galaxy,01 21.8,+05 15,95000000
NGC628,M74 PHANTOM GALAXY,01 36.7,+15 47,24000000
NGC7541,UGC 12447         ,23 14.7,+04 32,110000000
NGC2401,OCL  508          ,07 29.4,-13 58,20.5000
NGC2421,OCL  626          ,07 36.2,-20 37,7110
